Table 1 
Gaia Data and RVs for Candidate epsilonCA Members


Name ^a	R.A. (J2015.5)	Decl. (J2015.5)	pi	sigma	G	sigma	G - R _P	sigma	PMRA	sigma	PMDec	sigma	RV	sigma	RUWE ^b	RV ref ^c	
	(deg)	(deg)	(mas)		(mag)		(mag)		(mas yr^-1)		(mas yr^-1)		(km s^-1)		
HD 8279*	142.0874	-78.2597	8.504	0.025	8.92760	0.00038	0.3737	0.0025	-28.211	0.043	20.350	0.046	12.76	0.2	1.05	2	
CP-68 1388^dagger	164.4553	-69.2333	8.592	0.029	10.0229	0.0024	0.6763	0.0070	-34.842	0.051	3.552	0.044	15.9	1.0	0.93	12	
VW Cha*	167.0058	-77.7079	cdots	cdots	12.187	0.020	1.425	0.018	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
TYC 9414-191-1^Dagger	169.1200	-78.4224	1.564	0.022	10.523674	0.00025	0.86718	0.00067	-38.372	0.040	2.460	0.033	cdots	cdots	0.91	cdots	
2MASS J11183572-7935548^dagger	169.6478	-79.5986	10.57	0.15	13.8687	0.0027	1.3726	0.0043	-41.76	0.26	4.98	0.24	19.3	1.6	3.35^+	8	
RX J1123.2-7924*	170.7311	-79.4123	9.379	0.021	12.8674	0.0016	1.0036	0.0041	-31.670	0.040	-17.443	0.038	2.7	2.9	1.14	8	
HIP 55746*	171.3217	-84.9545	11.077	0.138	7.53435	0.00044	0.3524	0.0021	-46.19	0.16	11.92	0.16	20.9	1.2	1.46	3	
2MASS J11334926-7618399*	173.4550	-76.3111	5.410	0.060	15.56704	0.00081	1.3373	0.0010	-22.41	0.11	-0.561	0.087	cdots	cdots	1.07	cdots	
RX J1137.4-7648*	174.3794	-76.7997	11.988	0.021	13.52653	0.00079	1.0494	0.0022	-60.544	0.041	-8.935	0.032	14.0	5.0	1.16	8	
2MASS J11404967-7459394^dagger	175.2063	-74.9942	10.397	0.069	16.4291	0.0018	1.4466	0.0044	-42.74	0.13	-2.28	0.10	10.3	1.0	0.94	8	
2MASS J11411722-7315369^#	175.3211	-73.2602	10.416	0.052	15.47804	0.00084	1.3229	0.0024	-42.047	0.093	5.672	0.082	cdots	cdots	1.07	cdots	
TYC 9238-612-1*	175.3646	-73.7841	6.124	0.021	10.5976	0.0012	0.5663	0.0035	-35.747	0.041	10.938	0.036	cdots	cdots	1.33	cdots	
2MASS J11432669-7804454^dagger	175.8603	-78.0793	5.54	0.56	14.8931	0.0072	1.321	0.022	-43.98	0.92	-6.52	0.75	15.6	1	10.51^+	8	
2MASS J11432968-7418377^#	175.8729	-74.3105	10.063	0.039	14.17633	0.00066	1.2213	0.0022	-40.621	0.073	-3.026	0.067	cdots	cdots	1.19	cdots	
RX J1147.7-7842^dagger	176.9496	-78.698	9.894	0.039	12.3523	0.0012	1.1840	0.0028	-41.660	0.075	-4.265	0.065	16.1	0.9	1.28	8	
RX J1149.8-7850^dagger	177.3818	-78.8503	9.918	0.025	11.9324	0.0043	1.028	0.015	-41.876	0.047	-4.265	0.040	13.4	1.3	1.19	8	
RX J1150.4-7704*	177.6171	-77.0773	6.551	0.031	11.5250	0.0016	0.7773	0.0042	-42.744	0.054	-11.047	0.040	cdots	cdots	1.26	cdots	
RX J1150.9-7411^dagger	177.6868	-74.1871	10.63	0.18	13.4567	0.0050	1.324	0.012	-39.50	0.32	-8.08	0.29	15.0	1.2	6.01^+	8	
2MASS J11550485-7919108^dagger	178.7692	-79.3198	9.886	0.058	14.8180	0.0017	1.3502	0.0053	-41.18	0.13	-4.336	0.086	cdots	cdots	1.08	cdots	
T Cha^dagger	179.3054	-79.3588	9.122	0.083	12.97	0.11	1.61	0.35	-42.00	0.12	-9.245	0.080	6-30	cdots	0.91	2,5,10	
RX J1158.5-7754B^dagger	179.6109	-77.9126	9.662	0.035	13.2023	0.0027	1.1713	0.0081	-39.573	0.064	-5.686	0.060	13.0	2.0	1.22	11	
RX J1158.5-7754A^dagger	179.6165	-77.9083	9.518	0.035	9.9798	0.0011	0.7888	0.0033	-39.660	0.063	-12.844	0.070	14.02	1.82	1.66	2,8,12	
HD 104036^dagger	179.646	-77.8254	9.566	0.038	6.69296	0.00053	0.1646	0.0041	-41.286	0.065	-7.762	0.073	12.6	0.5	1.23	3	
CXOU J115908.2-781232^Dagger	179.7824	-78.2089	9.425	0.062	15.2563	0.00063	1.3139	0.0022	-38.62	0.14	-5.181	0.091	15.1	0.2	1.24	8	
epsilon Cha AB^dagger	179.9056	-78.2219	cdots	cdots	4.7816	0.0080	-0.1505	0.0086	cdots	cdots	cdots	cdots	13	3.7	cdots	11	
RX J1159.7-7601^dagger	179.9254	-76.024	10.025	0.023	10.8095	0.0023	0.7694	0.0058	-41.025	0.043	-6.190	0.038	13.0	3.7	0.96	2,8	
2MASS J12000269-7444068^#	180.0105	-74.7352	10.067	0.049	14.3241	0.0011	1.2431	0.0028	-42.047	0.079	-5.699	0.071	cdots	cdots	1.24	cdots	
HD 104237A^dagger	180.0204	-78.193	9.226	0.058	6.5427	0.0018	0.2213	0.0074	-39.31	0.11	-6.212	0.083	13.52	0.39	1.55	4	
HD 104237D^dagger	180.0336	-78.1943	9.885	0.061	13.0206	0.0015	1.1981	0.0065	-38.87	0.13	-3.195	0.098	cdots	cdots	1.53	cdots	
HD 104237E^dagger	180.0379	-78.1951	9.796	0.034	11.838	0.028	1.16	0.11	-42.907	0.074	-4.418	0.051	cdots	cdots	1.54	cdots	
2MASS J12005517-7820296^dagger	180.2291	-78.3415	9.713	0.082	15.5826	0.0012	1.4005	0.0040	-40.59	0.14	-4.96	0.12	10.7	1.3	1.17	8	
HD 104467^dagger	180.412	-78.9881	10.14	0.17	8.4285	0.0022	0.5145	0.0059	-41.11	0.26	-5.41	0.26	12.81	0.96	5.17	2	
2MASS J12014343-7835472^dagger	180.4302	-78.5965	9.53	0.11	17.115	0.021	1.166	0.069	-41.32	0.19	-6.33	0.14	20.0	0.6	1.28	8	
USNO-B 120144.7-781926^dagger	180.4343	-78.3241	9.819	0.063	15.2758	0.0076	1.372	0.020	-41.43	0.11	-6.105	0.088	14.9	1.1	1.08	8	
CXOU J120152.8-781840^dagger	180.4681	-78.3115	9.735	0.068	14.9821	0.0012	1.3319	0.0026	-40.59	0.12	-6.88	0.10	16.5	1.1	1.14	8	
RX J1202.1-7853dagger	180.5145	-78.8837	10.011	0.046	11.5100	0.0030	1.0059	0.0088	-45.122	0.081	-4.124	0.069	17.1	0.2	1.63	5	
