JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459898.65870,11.380,0.005,,B,BPEC,,105,111,X28357DP,|CMAGINS=-9.957|CREFMAG=11.495|KMAGINS=-9.905|KREFERR=0.006|KREFMAG=11.510|OBSERVAT=MAO PW CDK17|TAVER=2.52|TB_BV=0.0310|TB_BVERR=0.0070|VERR=0.005|VMAGINS=-10.076|VX=1.6643,1,1.671,Z,-9.957,-9.905,,ASAS J060415+1245.9,AAVSO,STD,103,,,
2459898.65943,10.219,0.003,,V,BPEC,,105,111,X28357DP,|CMAGINS=-10.746|CREFERR=0.049|CREFMAG=10.452|KMAGINS=-10.131|KREFERR=0.020|KREFMAG=11.112|OBSERVAT=MAO PW CDK17|TAVER=2.52|TV_BV=-0.1310|TV_BVERR=0.0080|VERR=0.003|VMAGINS=-10.964|VX=1.6572,1,1.664,Z,-10.746,-10.131,,ASAS J060415+1245.9,AAVSO,STD,103,,,
2459898.66008,9.561,0.003,,R,BPEC,,105,111,X28357DP,|CMAGINS=-10.912|CREFERR=0.091|CREFMAG=9.879|KMAGINS=-9.907|KREFERR=0.063|KREFMAG=10.854|OBSERVAT=MAO PW CDK17|TAVER=2.52|TR_VI=-0.1380|TR_VIERR=0.0070|VERR=0.003|VMAGINS=-11.200|VX=1.6510,1,1.657,Z,-10.912,-9.907,,ASAS J060415+1245.9,AAVSO,STD,103,,,
2459898.66078,8.893,0.005,,I,BPEC,,105,111,X28357DP,|CMAGINS=-10.064|CREFERR=0.116|CREFMAG=9.345|KMAGINS=-8.773|KREFERR=0.084|KREFMAG=10.609|OBSERVAT=MAO PW CDK17|TAVER=2.52|TI_VI=-0.1510|TI_VIERR=0.0080|VERR=0.005|VMAGINS=-10.483|VX=1.6444,1,1.651,Z,-10.064,-8.773,,ASAS J060415+1245.9,AAVSO,STD,103,,,
2459898.768873,10.296,0.070,,V,TNBA,,NA,,K,OSC (RGB) TRANSFORMED TO TYCHO V-BAND,1,,Z,,,2459898.773267,ASAS J060415+1245.9,AAVSO,STD,,,,
2459898.825041,8.833,0.005,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.260,Z,17.593,18.966,,ASAS J060415+1245.9,VVS,STD,,,,
2459898.825260,8.827,0.005,,I,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C =  9.345  K = 10.609,0,1.261,Z,17.595,18.955,,ASAS J060415+1245.9,VVS,STD,,,,
2459898.825532,10.236,0.004,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.261,Z,16.962,17.656,,ASAS J060415+1245.9,VVS,STD,,,,
2459898.825799,10.233,0.004,,V,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 10.452  K = 11.112,0,1.262,Z,16.962,17.661,,ASAS J060415+1245.9,VVS,STD,,,,
2459898.826169,11.360,0.006,,B,HMB,,000-BPM-314,000-BPM-315,X28356ID,STANDARD MAG: C = 11.495  K = 11.510,0,1.263,Z,17.943,17.978,,ASAS J060415+1245.9,VVS,STD,,,,
