HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2455946.88789,2012-01-20.3829787,ba,2.45,15.098,9.929,0.006,409.705,2.299,V
2455950.88886,2012-01-24.3841569,ba,2.07,99.990,99.990,99.990,99.990,99.990,V
2455971.79328,2012-02-14.2899745,ba,2.20,99.990,99.990,99.990,99.990,99.990,V
2455971.79557,2012-02-14.2922516,ba,2.22,99.990,99.990,99.990,99.990,99.990,V
2456000.74781,2012-03-14.2471114,ba,1.99,14.919,9.837,0.009,445.558,3.833,V
2456000.75004,2012-03-14.2493379,ba,1.99,14.930,9.851,0.009,440.085,3.709,V
2456019.76021,2012-04-02.2613680,bb,2.41,14.684,9.696,0.013,507.860,6.306,V
2456019.76220,2012-04-02.26335,bb,2.35,14.699,9.690,0.014,510.568,6.612,V
2456020.75135,2012-04-03.2526047,bb,2.10,14.680,9.762,0.013,477.717,5.754,V
2456020.75317,2012-04-03.2544232,bb,2.09,14.782,9.778,0.013,470.681,5.807,V
2456028.78339,2012-04-11.2853907,bb,2.13,14.759,9.716,0.013,498.158,6.006,V
2456028.78561,2012-04-11.2876048,bb,2.11,14.764,9.718,0.013,497.561,5.830,V
2456038.74908,2012-04-21.2519660,bb,2.28,14.745,9.738,0.014,488.480,6.279,V
2456038.75130,2012-04-21.2541827,bb,2.26,14.749,9.733,0.014,490.873,6.327,V
2457008.04943,2014-12-16.5434785,bd,1.76,14.577,9.903,0.004,419.464,1.617,V
2457008.05153,2014-12-16.5455775,bd,1.69,14.585,9.909,0.005,417.119,1.757,V
2457009.04682,2014-12-17.5408646,bd,1.53,14.605,9.940,0.004,405.627,1.597,V
2457009.04831,2014-12-17.5423503,bd,1.52,14.599,9.939,0.005,405.658,1.738,V
2457009.93183,2014-12-18.4258593,bd,1.66,14.618,9.980,0.004,390.804,1.526,V
2457009.93387,2014-12-18.4279049,bd,1.58,14.623,9.973,0.004,393.286,1.506,V
2457010.93404,2014-12-19.4281153,bd,1.59,14.636,10.012,0.004,379.445,1.576,V
2457010.93557,2014-12-19.4295947,bd,1.52,14.634,10.010,0.004,380.268,1.474,V
2457011.93370,2014-12-20.4277592,bd,1.55,14.653,10.036,0.004,371.073,1.519,V
2457011.93512,2014-12-20.4291537,bd,1.55,14.650,10.032,0.004,372.448,1.553,V
2457021.76152,2014-12-30.2555809,bd,1.54,14.516,9.848,0.004,441.624,1.622,V
2457021.76292,2014-12-30.2569803,bd,1.45,14.512,9.854,0.005,438.923,1.823,V
2457037.87397,2015-01-15.3684469,bd,1.41,14.652,10.026,0.004,374.530,1.480,V
2457037.87536,2015-01-15.3698396,bd,1.46,14.652,10.024,0.004,375.156,1.551,V
2457038.82615,2015-01-16.3206743,bd,1.53,14.623,9.985,0.004,389.048,1.602,V
2457038.82754,2015-01-16.3220592,bd,1.44,14.630,9.998,0.004,384.388,1.470,V
2457039.74915,2015-01-17.2437023,bd,1.48,14.599,9.965,0.005,396.075,1.755,V
2457039.75054,2015-01-17.2450929,bd,1.49,14.589,9.953,0.004,400.528,1.614,V
2457040.74954,2015-01-18.2441387,bd,1.46,14.573,9.920,0.005,412.925,1.741,V
2457040.75094,2015-01-18.2455421,bd,1.55,14.577,9.923,0.004,411.757,1.555,V
2457041.77096,2015-01-19.2656098,bd,1.61,14.571,9.895,0.004,422.763,1.673,V
2457043.86229,2015-01-21.3570320,bd,1.54,14.558,9.837,0.005,445.745,1.804,V
2457043.86370,2015-01-21.3584461,bd,1.48,14.561,9.842,0.004,443.858,1.698,V
2457045.86071,2015-01-23.3555531,bd,1.48,14.549,9.825,0.004,450.735,1.799,V
2457045.86222,2015-01-23.3570648,bd,1.44,14.566,9.860,0.005,436.411,1.775,V
2457047.84058,2015-01-25.3355271,bd,1.63,14.552,9.852,0.004,439.850,1.760,V
2457047.84196,2015-01-25.3369103,bd,1.69,14.545,9.837,0.005,445.530,1.834,V
2457049.86076,2015-01-27.3558234,bd,1.60,14.582,9.904,0.004,419.138,1.691,V
2457049.86214,2015-01-27.3572023,bd,1.53,14.590,9.904,0.005,419.043,1.736,V
2457061.83935,2015-02-08.3351965,bd,2.41,14.506,9.946,0.006,402.981,2.213,V
2457061.84074,2015-02-08.3365872,bd,2.38,14.511,9.939,0.006,405.553,2.272,V
2457065.84490,2015-02-12.3410525,bd,2.08,14.520,9.838,0.004,445.417,1.779,V
2457065.84640,2015-02-12.3425518,bd,2.05,14.524,9.842,0.004,443.668,1.789,V
2457066.84137,2015-02-13.3375954,bd,2.12,14.493,9.827,0.005,450.014,1.897,V
2457070.82207,2015-02-17.3186105,bd,1.52,14.580,9.891,0.004,423.913,1.666,V
2457070.82346,2015-02-17.3200056,bd,1.53,99.990,99.990,99.990,99.990,99.990,V
2457071.80197,2015-02-18.2985953,bd,1.46,14.606,9.935,0.005,407.333,1.724,V
2457071.80337,2015-02-18.2999864,bd,1.50,14.605,9.928,0.004,409.661,1.670,V
2457073.74945,2015-02-20.2462319,bd,1.49,14.636,10.010,0.004,379.892,1.458,V
2457073.75083,2015-02-20.2476268,bd,1.47,14.637,10.004,0.005,382.117,1.697,V
2457077.81377,2015-02-24.3108979,bd,1.48,14.655,10.077,0.004,357.407,1.489,V
2457077.81521,2015-02-24.3123376,bd,1.55,14.656,10.079,0.005,356.696,1.548,V
2457078.81507,2015-02-25.3122859,bd,1.45,14.649,10.060,0.005,363.271,1.610,V
2457078.81647,2015-02-25.3136820,bd,1.47,14.657,10.072,0.005,359.208,1.624,V
2457083.85045,2015-03-02.3481342,bd,1.75,14.529,9.916,0.005,414.479,1.774,V
2457083.85194,2015-03-02.3496302,bd,1.80,14.534,9.913,0.004,415.828,1.718,V
2457095.80170,2015-03-14.3005231,bd,1.55,14.606,10.030,0.004,373.309,1.556,V
2457095.80334,2015-03-14.3021623,bd,1.61,14.616,10.036,0.004,371.111,1.469,V
2457096.77388,2015-03-15.2728033,bd,1.47,14.642,10.055,0.005,364.596,1.632,V
2457096.77550,2015-03-15.2744146,bd,1.53,14.640,10.055,0.004,364.735,1.481,V
2457097.76343,2015-03-16.2624487,bd,1.59,14.649,10.067,0.004,360.686,1.483,V
2457097.76497,2015-03-16.2639807,bd,1.56,14.652,10.074,0.004,358.376,1.443,V
2457098.76049,2015-03-17.2595969,bd,1.68,14.644,10.070,0.004,359.795,1.537,V
2457098.76210,2015-03-17.2612083,bd,1.68,14.649,10.072,0.005,359.037,1.584,V
2457099.80202,2015-03-18.3016371,bd,1.71,14.629,10.061,0.005,362.854,1.609,V
2457099.80363,2015-03-18.3032509,bd,1.70,14.635,10.065,0.005,361.111,1.552,V
2457104.75133,2015-03-23.2514479,bd,1.86,14.558,9.912,0.004,416.123,1.655,V
2457104.75294,2015-03-23.2530523,bd,1.86,14.565,9.913,0.004,415.812,1.663,V
2457111.74215,2015-03-30.2429512,bd,1.74,14.540,9.878,0.005,429.559,1.818,V
2457111.74378,2015-03-30.2445741,bd,1.70,14.514,9.864,0.005,434.811,1.893,V
2457114.73246,2015-04-02.2335285,bd,1.70,14.497,9.948,0.005,402.406,1.820,V
2457114.73399,2015-04-02.2350596,bd,1.66,14.512,9.952,0.004,400.989,1.662,V
2457115.72975,2015-04-03.2309265,bd,1.67,14.486,9.988,0.005,388.113,1.732,V
2457115.73133,2015-04-03.2325157,bd,1.70,14.481,9.994,0.004,385.769,1.654,V
2457248.11568,2015-08-13.6194309,bd,1.52,14.563,10.019,0.005,376.738,1.751,V
2457248.11709,2015-08-13.6208434,bd,1.57,14.561,10.022,0.004,376.122,1.511,V
2457264.08905,2015-08-29.5915084,bd,1.62,14.491,9.956,0.005,399.575,2.082,V
2457264.09031,2015-08-29.5927631,bd,1.60,14.496,9.959,0.005,398.401,1.826,V
2457264.09156,2015-08-29.5940171,bd,1.61,14.521,9.984,0.005,389.346,1.757,V
2457270.09006,2015-09-04.5919775,bd,1.44,14.287,10.016,0.006,378.279,2.016,V
2457270.09097,2015-09-04.5928835,bd,1.52,14.290,10.016,0.006,377.806,2.075,V
2457270.09189,2015-09-04.5938045,bd,1.50,14.302,10.018,0.006,377.337,1.971,V
2457275.10917,2015-09-09.6106151,bd,1.57,14.541,9.882,0.005,427.709,1.829,V
2457275.11042,2015-09-09.6118702,bd,1.50,14.544,9.888,0.004,425.345,1.705,V
2457275.11168,2015-09-09.613125,bd,1.55,14.552,9.894,0.005,423.123,1.748,V
2457285.03706,2015-09-19.5375591,bd,1.75,14.304,9.968,0.006,395.198,2.125,V
2457285.03798,2015-09-19.5384759,bd,1.68,14.298,9.962,0.005,397.592,1.853,V
2457285.03890,2015-09-19.5393945,bd,1.67,14.289,9.947,0.005,402.915,1.817,V
2457289.10496,2015-09-23.6050640,bd,1.70,14.631,10.063,0.004,361.958,1.478,V
2457289.10621,2015-09-23.6063128,bd,1.64,14.630,10.062,0.005,362.331,1.638,V
2457289.10747,2015-09-23.6075694,bd,1.61,14.631,10.061,0.004,362.820,1.549,V
2457290.10440,2015-09-24.6044040,bd,1.53,14.624,10.051,0.005,365.735,1.623,V
2457290.10565,2015-09-24.6056608,bd,1.47,14.631,10.059,0.004,363.409,1.509,V
2457290.10695,2015-09-24.6069587,bd,1.53,14.626,10.050,0.005,366.475,1.572,V
2457304.00618,2015-10-08.5048502,bd,1.48,14.541,9.906,0.005,418.499,1.900,V
2457304.00743,2015-10-08.5060906,bd,1.52,14.539,9.907,0.005,418.171,1.911,V
2457305.02087,2015-10-09.5194412,bd,1.56,14.562,9.943,0.004,404.592,1.688,V
2457305.02212,2015-10-09.5206935,bd,1.54,14.566,9.942,0.004,404.708,1.583,V
2457305.02337,2015-10-09.5219434,bd,1.53,14.563,9.936,0.004,406.625,1.671,V
2457308.98096,2015-10-13.4791600,bd,1.51,14.608,10.060,0.005,362.935,1.663,V
2457308.98221,2015-10-13.4804138,bd,1.47,14.595,10.045,0.004,368.003,1.495,V
2457308.98347,2015-10-13.4816680,bd,1.41,14.594,10.045,0.004,368.262,1.579,V
2457310.01864,2015-10-14.5167429,bd,1.51,14.623,10.073,0.004,358.607,1.500,V
2457310.01990,2015-10-14.5180026,bd,1.49,14.622,10.074,0.005,358.424,1.579,V
2457310.02115,2015-10-14.5192534,bd,1.49,14.626,10.078,0.005,356.952,1.589,V
2457314.97726,2015-10-19.4749170,bd,1.52,13.876,9.963,0.008,397.169,3.018,V
2457314.97816,2015-10-19.4758206,bd,1.50,14.082,9.993,0.007,385.901,2.339,V
2457314.97907,2015-10-19.4767251,bd,1.46,14.076,10.004,0.007,382.197,2.435,V
2457316.95154,2015-10-21.4490251,bd,1.57,14.317,9.955,0.006,399.937,2.036,V
2457316.95245,2015-10-21.4499329,bd,1.49,14.316,9.955,0.006,399.755,2.038,V
2457316.95335,2015-10-21.4508386,bd,1.58,14.322,9.968,0.006,395.144,2.084,V
2457318.94690,2015-10-23.4442131,bd,1.51,14.508,9.908,0.005,417.524,1.775,V
2457318.94815,2015-10-23.4454663,bd,1.60,14.519,9.910,0.004,416.988,1.683,V
2457318.94941,2015-10-23.4467262,bd,1.50,14.521,9.922,0.005,412.109,1.826,V
2457320.05994,2015-10-24.5571623,bd,1.49,14.557,9.894,0.005,423.037,1.825,V
2457320.06120,2015-10-24.5584162,bd,1.61,14.559,9.894,0.005,422.781,1.759,V
2457320.06245,2015-10-24.5596701,bd,1.54,14.556,9.894,0.004,423.093,1.735,V
2457320.93857,2015-10-25.4357184,bd,1.50,14.480,9.879,0.005,428.944,1.927,V
2457320.93982,2015-10-25.4369603,bd,1.55,14.498,9.880,0.004,428.725,1.700,V
2457320.94106,2015-10-25.4382034,bd,1.54,14.481,9.881,0.005,428.225,2.005,V
2457324.94100,2015-10-29.4378168,bd,1.53,14.491,9.922,0.005,412.088,1.995,V
2457324.94225,2015-10-29.4390699,bd,1.61,14.504,9.918,0.005,413.685,1.932,V
2457324.94349,2015-10-29.4403090,bd,1.54,14.478,9.917,0.005,414.080,1.901,V
2457330.09096,2015-11-03.5873719,bd,1.53,14.533,10.078,0.005,357.174,1.660,V
2457330.09221,2015-11-03.5886258,bd,1.56,14.535,10.074,0.005,358.602,1.598,V
2457330.09345,2015-11-03.5898665,bd,1.51,14.513,10.057,0.005,363.933,1.663,V
2457333.08277,2015-11-06.5789695,bd,1.59,14.627,10.054,0.005,365.181,1.586,V
2457333.08402,2015-11-06.5802153,bd,1.58,14.624,10.051,0.005,366.091,1.597,V
2457333.08527,2015-11-06.5814650,bd,1.57,14.624,10.047,0.004,367.505,1.449,V
2457342.88421,2015-11-16.3797671,bd,1.60,14.280,9.892,0.005,423.722,1.975,V
2457342.88510,2015-11-16.3806605,bd,1.49,14.286,9.892,0.005,423.604,2.034,V
2457342.88601,2015-11-16.3815604,bd,1.58,14.284,9.882,0.006,427.676,2.158,V
2457358.08970,2015-12-01.5845261,bd,1.50,14.595,9.991,0.004,386.845,1.596,V
2457358.09096,2015-12-01.5857773,bd,1.49,14.586,9.982,0.004,390.226,1.642,V
2457358.09221,2015-12-01.5870337,bd,1.52,14.584,9.988,0.004,388.109,1.624,V
2457358.98782,2015-12-02.4826123,bd,1.57,14.581,9.957,0.004,399.443,1.641,V
2457358.98907,2015-12-02.4838635,bd,1.56,14.585,9.955,0.005,399.839,1.695,V
2457358.99032,2015-12-02.4851082,bd,1.55,14.588,9.962,0.005,397.149,1.681,V
